Site;City;Type;Latitude;Longitude;ISA;Tree_cover;Distance_road;Distance_center;axis1_env;Date;Species;Ring_num;Age;Cu;Pb;Zn;As;Hg;Cd;log.cu;log.zn;log.pb;log.as;log.cd;log.hg
Czechoslowacka;Poznan;Residential;52,375685;16,886984;33,3;55,4;2,3;3380;0,638765122;11/04/2017;BT;K7V3793;A;79,145;9,928;779,229;7,53;1,336;0,663;4,371281613;6,658304969;2,295359048;2,018895042;-0,410980289;0,289680075
Czechoslowacka;Poznan;Residential;52,375685;16,886984;33,3;55,4;2,3;3380;0,638765122;11/04/2017;GT;K7V3794;2Y;32,173;11,418;422,229;0,544;4,898;0,324;3,471127591;6,045547821;2,435191058;-0,608806032;-1,127011763;1,588826959
Czechoslowacka;Poznan;Residential;52,375685;16,886984;33,3;55,4;2,3;3380;0,638765122;11/04/2017;BT;K7V3796;A;22,986;8,242;477,715;2,733;6,031;0,609;3,134885335;6,16901432;2,109243033;1,005399907;-0,495937011;1,796912834
Park Cytadela;Poznan;Park;52,424868;16,931171;4,9;37;67,7;2940;0,248657979;11/04/2017;BT;K7V3798;2Y;47,631;26,954;617,481;0,958;0,919;5,977;3,86348381;6,425648299;3,294131709;-0,042907501;1,78791877;-0,084469157
Park Cytadela;Poznan;Park;52,424868;16,931171;4,9;37;67,7;2940;0,248657979;11/04/2017;GT;K7V3800;A;9,219;9,602;1045,106;2,65;1,434;0,569;2,221266572;6,951873595;2,26197141;0,97455964;-0,563874845;0,360467742
Park Cytadela;Poznan;Park;52,424868;16,931171;4,9;37;67,7;2940;0,248657979;11/04/2017;GT;K7V4101;2Y;9,567;13,41;593,685;2,118;1,804;0,444;2,258319677;6,386348876;2,596000697;0,750472247;-0,811930717;0,590006422
Park Cytadela;Poznan;Park;52,424868;16,931171;4,9;37;67,7;2940;0,248657979;11/04/2017;BT;K7V4103;A;26,231;11,353;384,356;0,935;19,969;0,656;3,266941917;5,951569206;2,429482026;-0,06720875;-0,42159449;2,994181071
Dolina Baryczy;Dolina Baryczy;Natural_park;51,482825;17,047736;0;77,6;884,3;42600;-3,880536489;14/04/2017;BT;K7V4104;A;7,086;3,671;285,898;5,743;22,599;0,33;1,958121006;5,655635104;1,300464105;1,747981722;-1,108662625;3,117905658
Dolina Baryczy;Dolina Baryczy;Natural_park;51,482825;17,047736;0;77,6;884,3;42600;-3,880536489;14/04/2017;BT;K7V4105;A;9,967;3,568;360,462;4,979;19,615;0,143;2,299279636;5,887386542;1,272005215;1,605229068;-1,944910649;2,97629458
Dolina Baryczy;Dolina Baryczy;Natural_park;51,482825;17,047736;0;77,6;884,3;42600;-3,880536489;14/04/2017;GT;K7V4106;A;4,786;2,588;429,499;2,017;15,798;0,053;1,565694989;6,062619413;0,950885377;0,701611259;-2,937463365;2,75988335
Dolina Baryczy;Dolina Baryczy;Natural_park;51,482825;17,047736;0;77,6;884,3;42600;-3,880536489;14/04/2017;GT;K7V4109;2Y;9,487;14,956;644,513;3,574;2,831;0,37;2,24992244;6,468494993;2,705112557;1,273685417;-0,994252273;1,040630006
Dolina Baryczy;Dolina Baryczy;Natural_park;51,482825;17,047736;0;77,6;884,3;42600;-3,880536489;14/04/2017;BT;K7V4110;A;25,117;5,762;319,81;1,124;4,574;0,273;3,223544908;5,767727069;1,751284637;0,116893751;-1,298283484;1,520388096
ROD Relaks;Bialystok;Residential;53,113302;23,178006;34,4;40,7;66,4;3270;0,852346672;15/04/2017;GT;K7V4111;2Y;15,691;19,047;685,598;1,985;1,281;1,998;2,7530873;6,53029145;2,946909609;0,685618914;0,69214668;0,247641023
ROD Relaks;Bialystok;Residential;53,113302;23,178006;34,4;40,7;66,4;3270;0,852346672;15/04/2017;BT;K7V4113;2Y;9,93;1,122;307,395;11,94;2,627;0,205;2,295560478;5,728133566;0,115112807;2,479894108;-1,5847453;0,965842511
ROD Relaks;Bialystok;Residential;53,113302;23,178006;34,4;40,7;66,4;3270;0,852346672;15/04/2017;GT;K7V4114;A;27,923;15,498;3023,617;1,403;3,243;1,725;3,329450722;8,014209076;2,740710983;0,338612801;0,54522705;1,176498827
ROD Relaks;Bialystok;Residential;53,113302;23,178006;34,4;40,7;66,4;3270;0,852346672;15/04/2017;GT;K7V4115;2Y;9,074;14,354;895,634;6;1,026;0,738;2,205413181;6,797531847;2,664028649;1,791759469;-0,303811454;0,025667747
Hotel Cristal;Bialystok;Center;53,132203;23,156421;59,9;11,2;70,4;802;2,150425088;15/04/2017;BT;K7V4117;A;10,5;10,817;1469,639;6,793;0,761;0,015;2,351375257;7,292772071;2,381118971;1,91589267;-4,199705078;-0,273121921
Suprasl;Bialystok;Forest;53,248494;23,483299;0;72,3;14,2;25800;-1,463864844;16/04/2017;GT;K7V4118;2Y;6,018;3,73;318,301;4,055;11,534;0,091;1,794754978;5,762997476;1,316408234;1,399950688;-2,396895772;2,445299195
Park Planty;Bialystok;Park;53,12711;23,167136;2,2;47,9;174;1700;-0,179061219;16/04/2017;BT;K7V4120;A;12,968;9,226;439,452;0,553;1,716;0,15;2,562484784;6,085528496;2,222025585;-0,592397277;-1,897119985;0,539996001
Park Planty;Bialystok;Park;53,12711;23,167136;2,2;47,9;174;1700;-0,179061219;16/04/2017;BT;K7V4121;A;10,475;1,996;261,303;8,553;9,101;0,097;2,348991466;5,565680654;0,691145178;2,146282099;-2,3330443;2,208384298
Park Planty;Bialystok;Park;53,12711;23,167136;2,2;47,9;174;1700;-0,179061219;16/04/2017;BT;K7V4122;2Y;23,614;18,068;2016,318;12,205;0,561;1,045;3,161839756;7,609028355;2,894142418;2,501845704;0,044016885;-0,578034373
Park Planty;Bialystok;Park;53,12711;23,167136;2,2;47,9;174;1700;-0,179061219;16/04/2017;GT;K7V4124;2Y;6,254;5,528;299,165;3,676;8,281;0,109;1,833221259;5,700995261;1,709826086;1,301825204;-2,216407397;2,113963734
Park Planty;Bialystok;Park;53,12711;23,167136;2,2;47,9;174;1700;-0,179061219;16/04/2017;GT;K7V4125;A;8,193;2,723;385,172;5,264;4,452;0,102;2,103280131;5,953689988;1,001734214;1,660891194;-2,282782466;1,493353433
Bialowieza;Bialowieza;Natural_park;52,901428;23,867001;0;74,1;611,5;54900;-3,833914103;18/04/2017;GT;K7V4126;2Y;5,551;3,797;379,432;1,805;1,129;0,363;1,713978092;5,938675398;1,334211281;0,590560592;-1,013352445;0,121332285
